sentence,label
"COVID-19 has caused many businesses to pivot torwards Ecommerce and online shopping. With  an unforeseen spike in online orders, how is your business handling inventory and shipping? https://t.co/XjOz7raqCF
@DC360_Official",2
Morneau says  On Monday I spoke with all CEOs of major grocery store and say they will maintain fair prices  and that goods are still flowing properly to the stores,1
"@RepMichaelWaltz @realDonaldTrump They need hand sanitizer because of the lack of leadership down there. Thousands on the beaches, people jamming towns, nothing closed. Florida is the joke of the nation yet again. #coronavirus #COVID?19 #CoronavirusOutbre",1
"When at the grocery store, do the opposite of #RKelly please. #SocialDistancing #StayHome #StaySafe",1
BoC: Survey interviews were conducted before concerns around COVID-19 intensified; two smaller phone surveys were completed more recently to provide a picture of the impact of the COVID-19 shock and low oil prices on firms. https://t.co/xBdsLZnIs6,0
"By David Jessop

In normal times a sudden drop in the price of oil would elicit a collective sigh of relief among Caribbean governments and Central Bankers. However, these are not normal times. https://t.co/ATrW0jrSbq https://t.co/RnjD3ubSrd",1
 any word when the customer relations department will open back up?,2
"Well, I give up. No chance of getting a delivery slot from any supermarket even though Ive been told to isolate for 12 weeks and Im petrified of my husband bringing the virus into the house from the local shop. What are we supposed to do? Ive got 1 lung ffs! #Coronavirus",0
"@smartpeachfuzz @theJeremyVine Totally agree. Perhaps the lower graded #nhsworkers like health care assistants, ward clerks and cleaners or shelf stacking supermarket assistants who earn under £20k but at greater risk of contact with #CoronaCrisis due to",1
 what's the status of flight 1008 Bogotá-Houston?,2
"Wash your hands often with soap and water for at least 20 secs,  after being in a public place,  after blowing your nose, coughing or sneezing. If soap and water is not available, use a  sanitizer with at least 60% alcohol.

#covid19
#coronavirus 
#safetytips 
#stayhomestaysafe https://t.co/1sfMQ4uRxU",2
 Beatriz and Susan. Gate 4 MCO.,1
#beverlyhills #studiocity vons #thanks for the #toiletpaper #groceryshopping #food #followers #follow #coronavirus #crisis #prepare #educateyourself #educate #worldwide #virus #prepared #mask #protectyourself https://t.co/ueaDztbMWL,2
 Can you provide guidance on how I should work with them to resolve the issue,2
“: Our fleet's on fleek. http://t.co/tEjrN09tfw” NOOOOOOOOOOOOOOOOOO,2
Orrrrrr Covid 19 shows us why we need to reduce Albertan dependency on oil prices And get off the pill rollercoaster ride,2
A couple bought up 2 carts of meat from the supermarket and is now getting death threats. #coronavirus #coronaoutbreak https://t.co/So3zmjBSS2,0
"#Lebanons Middle East Airlines statement on flights and costs for April 5 put out an hour ago: Lagos, Abdijan, Abu Dhabi, and Riyadh.

From @MiddleEastEye last night: https://t.co/XFgg9iA5JL

#COVID?19 https://t.co/4zRvwHOM2C",2
Food banks amp pantries across the US are reporting unprecedented demand plummeting donations from retailers and a fall in personnel due to the crisis I ve been in this business over 30 years and nothing compares to what we re seeing now,0
"For those of who do still have to go to work, can you please leave some fruits and eggs and basics in the grocery store? Thanks. #COVID2019",1
"A scarred, damaged consumer coming out of Covid-19 will emerge with different consumption and savings behaviors and go back to the drawing board just like they did in '09

Not a structural tailwind for bullish energy thoughts",1
 airlines 1st &amp; only time I ever fly your airline! What a disgrace. @JimTrotter_NFL I should've listened to your tweet! #HORRIBLE,0
Covid 19 Odisha food supplies minister urges people not to resort to panic buying via,0
do NOT come to the grocery store and tell clerks how we should deal with the #coronavirus unless you are going to provide us with PPE yourself,2
" So break whatever you want, take no responsibility..Too bad for customer? #media #filmcrew @chicagotribune @WSJ #nytimes @CNN",0
How is #Coronavirus impacting online shopping? Our upcoming market research provides insights into consumers' online buying behavior and how it will affect brands. #Covid_19 #IP #BrandProtection https://t.co/0GAzXNJRee,2
" When I left Orlando, I was 2nd in line for standby. I land and I'm 4th. 'Priority members get first available seats'. Awesome.",0
"In the chaos at the grocery store, I just saw a guy buy 20 2 liters of Diet Pepsi. #Covid_19",0
Been in2 local @AldiUK about 3:45 team doing great job - shelves all round were full - not saying where 2 stop #panicbuying buying - #ThinkOfOthers #StopHoarding #coronavirus,1
"Govt releases February #WPI Inflation at 2.26% vs 3.1% (MoM) and Core WPI Inflation at -5% Vs -0.9% (MoM). Here's more ??

#WPIdata #Inflation #Economy https://t.co/AQBoyTByGv",2
#SocialDistancing #COVID19 #coronavirus #WWG1WGAWORLDWIDE   They can do this but they can't keep the hand sanitizer stocked. WTH. Hand sanitizer makes more sense. Rules and shortages feels like communism. https://t.co/cNNNeYSpx1,1
The pandemic has directly impacted every industry and workplace due to consumer paranoia and rumors B2B space is no different Here is a take on safety from Virus during this lockdown,0
The micros in my area of are doing exactly that and are reaping the rewards Without price hikes or any other punitive anti consumer measure,0
" really? 3 hr delay, 4 gate changes, &amp; you boarded us, sent us back up, &amp; boarded us again.  Won't change our flight. Can we go now?",0
The #unclear #MixedMessages @BorisJohnson @matthancock CREATING MORE PROBLEMS. We need clear messages backed up #GovernmentPolicies! #StopHoarding #panicbuying #DontPanic #CoronaVirusUpdate #coronavirus https://t.co/6omPYc9GpM,2
"Its sad to see human greed on display with mass emptying of food and items on shelf, sheer and unnecessary panic whilst the people who really need the basics miss out. What will be worse #COVID2019 or the public display of humanity.",0
"#schoolclosuresuk Important to note supermarket delivery drivers have been included as key workers, its vital they are at work in order to support the effort to tackle the #Coronavirus https://t.co/USRFo13Hcl",1
"Never in my career have I seen anyone cancel a call because they had to go to the grocery store ? Thank you for the good laugh @abhigolhar 

#CoronaCrisis https://t.co/OLRgzNj2iq",1
"The problem is not that theres no #ToiletPaper - its that grocery stores dont normally have to restock the entire store every delivery. They need more deliveries, more frequently.
#Covid_19 #covid19 #coronavirus",0
" when I told csr I would close acct, he couldn't care less",0
 @Cowboycerrone  ratchet airway!. ......,0
How dramatically are US retail consumer trends shifting amid the COVID-19 crisis? https://t.co/gnDFmAqGmv https://t.co/YihGtxpZ0L,0
Thank goodness I was able to get to the grocery store this morning...#Covid_19,1
" Umm, can you define 'extra time'?",0
 experience exceptional service from Cherry at #DenverAirport.  #GreatService. #professionalism,1
"Update: I went to 12 (TWELVE) grocery stores today to try and get my mother toilet paper. Not a single store had any. 

Her only hope now is that she can go out to one of the few stores offering hours for seniors and the vulnerable population
#coronavirus",1
 I spent over an hour of my morning on hold w/ your customer support. I want my confirmed flight to be taken care of,0
"Americans have been alarmed by empty grocery shelves, but while food suppliers and retailers say they are struggling with surging demand, they insist the supply chain remains strong via @nytimes #supplychain #COVID19 #coronavirus

https://t.co/QrO7AVqbz5",0
 stellar customer service. You have earned my business by your attention to detail.,1
"Just trying to encourage people to keep their distance from me at Walmart and the grocery store 
????
?
??
?
#socialdistancing #saferathome #flatenthecurve #covid_19 #corona #coronavirusmemes #coronavirus #hazmatsuit https://t.co/Uc3EX7Oo0P",1
Cant let this die. A little humor in these times. Reposting from a FB post. #COVID19 #coronavirus #lockdown #30MoreDays #staysafe #toiletpaper #ToiletPaperApocalypse https://t.co/AQ8wNWs32l,0
In a food stripped supermarket proof that nobody like Olives 19,1
"PamyBot:~$#forex #fxDailyFX ""#Bitcoin prices may see a pickup in volatility ahead of the 2020 halving as the #coronavirus pandemic threatens to disrupt cross-continental $BTC mining operations. Get your market update from ZabelinDimitri here:  https://t.co/fQtseIIxTV""",0
EASY 2 INGREDIENT HAND SANITIZER RECIPE https://t.co/tYOakXmbiy via @YouTube #HandSanitizer #DIY #Coronavirus #COVID19 #StayHomeStayHome #StayAtHome #YouTube,1
"While some people is worried about not being able to try his new skiing gear due to the lockdown, I am worried about my food supply in an empty supermarket. Cake Researcher limited edition toilet paper candies to memorize 2020. #toiletpapercrisis #Covid_19 https://t.co/84cHV5gTXb",0
My sister friend just sent her a screen shot of this and now shes freaking out and went to the store to buy food and stock up on everything! Tbh starting to worry now...all jokes aside #Coronavirus,0
"Stay home, folks.  Stay the fuck home!

If you NEED to go to work... fine.

If you NEED to go to the pharmacy, to the grocery store... fine.

Other than that STAY THE FUCK HOME.  YOU FUCKING IDIOTS ARE KILLING PEOPLE!

Why is this hard?

#coronavirus #COVID19",0
"The US economy has grown. The task was to stay at this level. It was necessary to reduce the oil.
Lower oil prices will strengthen the economy of China, the EU and the euro.
Therefore, COVID 19 is not accidental.
After this virus, the world is waiting for new shocks and problems. https://t.co/oJveAepvSP",0
 you guys should be nice and just give your routes to jet blue and southwest.  At least they treat their customers properly.,0
An employee at Shaws supermarket in Easton has recently tested positive for the #coronavirus. This sparks concerns of other employees and local shoppers. #umassnewswriting,1
"Because of the fractured federal response to COVID-19, state governors say theyre now bidding against federal agencies and each other for scarce supplies, driving up prices. 
?? https://t.co/vAn2angzsJ",2
"Vegetable and grocery shops are charging double and triple prices for daily use and food/ vegetable items as demand of items has surged in Gurgaon. #Coronavirus impact.
@gurgaonpolice please act, these are essential items. 
@cmohry",1
"As we are all practising #SocialDistancing more of our #shopping will be done online. A really simple and FREE way to support us during this difficult time is to sign up to @easyuk &amp; retailers donate money to @CardiacRehab12 , completely free.

Visit: https://t.co/zVypEK4d4s https://t.co/fHt0bm6POF",1
 I been on hold with U for 40mins wasting my time and $ &amp; I don't appreciate it #WheresTheCustomerServiceAt http://t.co/phI2IfNjIT,0
".@Sephora will close all stores across the US &amp; Canada through April 3rd due to #coronavirus concerns. Theyll continue paying regular wages &amp; benefits to employees. Online shopping will remain open. Shipping fees, return policies will be adjusted around this hiatus. #COVID19",1
COVID 19 DYNAMICS AND ASSET PRICES Alexis Akira Toda New from org real time papers Edited by,1
"With all that is going on these days its important to keep our sense of humor and help each other out. We deliver meds. right to your door and at pharmacy prices. Please like and share any of our posts and help us get the word out!

#quoteoftheday #coronavirus https://t.co/YqKs4ufyrW",1
" I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!",0
"@FoxNews @MSNBC @CNN 

Trump added $1 trillion to stock market today to save his campaign
Just think how many COVID-19 tests, sick leave,unemployment checks,food stamps&amp; hospital treatments that could have paid for
Shows you what trump&amp; GO",0
@cdh1001 @jcalpickard Something a few of us have been wondering is what has to happen in order for property prices to collapse in the medium term (both in terms of direct and indirect effects of COVID-19),0
"shavedonatenominate

The government are telling us all to stay at home unless essential while they tackle this ongoing and unpredictable emergency.

Our amazing NHS workers are on the front line of this tragic https://t.co/KRUSOGcMeG",0
"Do not make your own hand sanitizer! Just wash your hands folks.
#westernjournal #thewesternjournal #news #coronavirus #newjersey #usnews #COVID-19
 https://t.co/qDIn2rz0oG",1
"?? Forget TP, bidets at #Costco now available! ?#toiletpaper #TP #coronavirus #COVID19 #bidet https://t.co/NoB1pHoA51",0
I hope #coronavirus would wipe out all morons and inconsiderates in the states who are panic shopping and hoarding by next week so I can actually buy toilet paper. #fuckyou #StopPanicBuying,0
"Well done @AyeshaPakravan for this thoughtful, generous and much needed food delivery service to vulnerable people. Please tweet your GoFundMe details some can all contribute
#COVID2019 #CoronavirusLockdownUK #StayHomeSaveLives
https://t.co/E9UvsTfKEt",1
To every panic buyer you absolute selfish gets. I hope someone breaks in and leaves you all with no food you selfish Muppets leaving people with nothing. I so hope I see a panic buyer tonight you're getting abuse #Covid_19 #CoronaCrisis #Tesco,0
 yep it's for tomorrow.,2
"if you're out of stock of food then you should try bat soup!.
#coronavirus",2
"Self-Care Tip #6: Reach Out to Someone

Reach out to Telehealth if you are worried about any symptoms you may have due to COVID-19 at 1-866-797-0000.

For more tips, please go to https://t.co/LJN8vhs0ud https://t.co/WhfASCts68",1
"Panic buying online?! Can I suggest you use Amazon Smile?  Same shopping experience but a percentage goes to charity https://t.co/lFAthmPPaO and you can pick your cause - can I suggest @nationaltrust 
#Covid_19",1
"One month later and I still can't purchase items online lol. 

Is @hm a real place? 

When everyone else is encouraging shopping online and social distancing due to #covid_19 your online platform is STILL not working?

@hm_custserv",1
Im looking for #localdesigners in the #fashion and #textile industries who can make cloth or fabric face #masks to retail in our online health store. Lets collaborate. Please DM me. #Lockdownextention #coronavirus,1
"Now that fewer people are in the stores, once-common #ToiletPaper species have begun to return to their native aisle landssome in groups and some all by their shelves. #CoronaVirus https://t.co/GbJnBvyWA7",2
Nothing like opportunism in a worldwide health crisis! #coronavirus #covid-19 #stopprofiteering #stophoarding #stoppanicbuying https://t.co/DHj10U2ksO,0
Pet retail officials are making temporary changes to store operations to help ensure the safety of their customers and associates as the #coronavirus (#COVID19) pandemic continues. https://t.co/xouo6MAvNe,1
"Im so happy I could just 
st!  

#Score 

#toiletpaper #Charmin #CoronavirusLockdown #coronavirus #ChineseVirus #ChineseVirus? https://t.co/Nyeb5jb1Re",1
Founder of is our guest writer this month on Logit s blog discussing the importance of understanding the shift in consumer amp participant behaviour during COVID 19 To read the full article click here,1
@TelanganaCMO sir many vegetable vendors at Rythu bazar are selling at exhoberent prices taking advantage of the current situation. Kindly look into it. #Covid_19 #Telangana,1
"British #Pound Hits 35+ Year Low, Australian #Dollar Hits 17 Year Low Against Dollar.

 Crude oil prices have plunged by 6% to reach $25, the lowest since 2003.
#CoronaVirusUpdate #ChineseVirus
#Covid_19 #CoronavirusOutbreak",0
"AG Nessel extends Consumer Protection Hotline operations to track price-gouging complaints related to COVID-19 | News, Sports, Jobs - Daily Mining Gazette - https://t.co/cBKZ2orNYb",0
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing

Should people be allowed to sell grocery's at over inflated prices online",2
"The world has gone a little crazy... the amount of empty-shelved supermarket pictures going around and general overload of Covid-19 stuff in the media is a little, well, boring.??
??
I'm just glad that my company is https://t.co/AXC2oUuW4V",0
"Shit's getting weird it there. (Seen at the grocery store.)?
.
.
.
#grocerystore #utica #cny #upstate #315 #quarantine #quarantine2020 #boreantine #coronavirus #balognavirus #covid19 #covid_19 #walkingtour https://t.co/J86qAgan1S",0
We keep hearing stories of people unable to access assistance or benefits from WINZ sometimes going without food for days The Govt needs to urgently lift benefits to liveable levels to alleviate the massive demand for food grants caused by poverty,1
Only in 2020 - How to stay safe at the supermarket https://t.co/UuhbojoNWL,1
"Homebound Canadians are on the hunt for stuff to keep them from getting bored and out of shape

We all know that toilet paper has improbably emerged as the most sought-after consumer item amid the COVID-19 shutdown, but as Canadians hunker down theyre a https://t.co/eFa525VQRE",0
Cheryl Idell Chief Research Officer at Entertainment amp Direct to Consumer shares how social distancing in the wake of COVID 19 is affecting usage of digital platforms,1
 is giving me false hope of ever getting home,0
"@BrandyProudLib @realDonaldTrump @SpeakerPelosi They think SSI recipients arent affected by COVID-19, but we ARE. For weeks Ive been unable to find groceries. Ive had to pay out the ass for ppl to grocery hop from store to store to find me food. &am",0
"#Taiwan Investigation Bureau questioned three persons for allegedly posting messages online to urge people to stockpile food that might have set off panic buying at local supermarkets this week #COVID19 #coronavirus 

https://t.co/d68OLtmF0R",0
"Hmm. Gas prices are low, which is great when I use a car.  But with lockdown I dont need a car. Did oil price war players work this one out?  #coronavirus",0
 if ur going 2 charge $20 for wi-fi make sure it works. #Brutal #DialUp b a 100 by the time things load. #TheEnd #GoodDay,0
My husband just got back from the grocery store with only half the things we needed. This is fun! #coronavirus,1
"Yall fucked up for this, who came in here and bought up all the toilet paper? Anybody got a roll I can borrow, I gotta take a shit?
#Texas #coronavirus #toiletpaper https://t.co/rQw9oRR6oL",0
  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?,0
@FlightCentre_UK @FlightCentre_UK what does it take to get a refund for Irish customers and reply to our emails?#terriblecustomerservice https://t.co/FFhbaNKNdy,2
"A month into #socialdistancing, how are Americans changing the way they shop online and what products are they prioritizing to help them stay comfortable and entertained at home? #COVID19 https://t.co/yaLKpaObBz https://t.co/9QylYnrlJ7",1
"We need unified guidelines at the city, county &amp; state levels to provide for the needs of both of high risks groups. Our seniors &amp; disabled folks cant access grocers to buy food &amp; supplies. This is a disability rights issue!!
#CaliforniaForAll @CAgovernor  @DisabilityCA #COVID19 https://t.co/b8mlr3hu5y",1
 just tried calling. got a high call volume at this moment message and then it said goodbye and hung up…,0
Bored of quarantine yet If you re tired of binge watching Netflix and doing and shopping online here are some creative suggestions on how to survive even thrive during,0
"@BBCNews Tell that to many customers that came to my supermarket with kids,shopping list, full trollies, one just want coleslaw  , honestly if we keyworkers in supermarket got the virus will be  anyone's fault who is not doing their essential shopping #co",1
"If I cant find #wetones &amp; #cloroxwipes by tomorrow, Ill try trading some of my #toiletpaper #unused #ToiletPaperApocalypse #ugh #COVID2019 #coronavirus #KeepYourDistance #sixfeetapart https://t.co/vms2CHZgaq",2
"Canadian grocers adapt as COVID-19-driven online demand grows
https://t.co/WS6j44jh9i
#groceries #coronavirus #food #nationalnews https://t.co/R8aFM8VTnw",0
"@FoxNews ""Farmers from across the country are being asked to dump their milk this week, as the restaurant and food service demand crumbled rapidly due to COVID-19. ( Ben Butler, Twitter )"". https://t.co/EZaP8qEWNy",0
A man has been charged after purposefully wiping saliva on supermarket products during the pandemic via,0
 checked into my flight yesterday and have been bumped to a Tuesday flight! Unacceptable and no agents to speak to!,0
"There's a lot of stories of councils looking to cut services  and up rates

exactly wrong thing to do in a recession. Fewer people in work, less job security (= less consumer spending) &amp; more tax makes recession worse

govt might need to help out councils

https://t.co/OmOlpykmZ6",0
 what terminal LHR for aa5/BA1506? Doesn't say in boarding pass,2
"Pet store promotes online shopping, curbside pickup amid COVID-19 social distancing orders https://t.co/iaYZI15tir",1
@afluffybirbdurr You can still buy groceries? during a lockdown. You could even be super fancy &amp; ?? your Supermarket to make an appointment during the ??#StayHomeOH order. ?Don't go out &amp; buy? them right NOW. You will be part of the problem &amp; ,1
23 3 2020 Coronavirus COVID 19 Hints &amp; Tips i e  Supermarket Delivery Hell https://t.co/ICRQty81I2 via @YouTube,0
Don't shoot me officer I am just going to the grocery store #COVID_19 https://t.co/G8UZCpDEWO,0
"How is the COVID-19 pandemic shifting #IT demand for #DataCenter demand? Are remote work tools such as notebooks, smartphones, and consumer electronics demand affecting the storage and memory giant @MicronTech?

https://t.co/pyF7CwnPcM https://t.co/S8HjlYI1UD",0
 It isn t like a certain region was hit by a hurricane and things can flood in from across the country   Gaither said  Everybody is affected by this  ,1
"#SocialDistancing #coronavirus 
You have all lost your minds so here's a calming picture 

PS: I'm going Captain Ahab on these if you idiots panic buy all the food. https://t.co/DgxXn7JxqZ",0
 Hi. I have KOA-LAX-PHL-ORD booked as a 1-way savr awrd. If I called to chnge it to KOA-LAX-PHX-ORD would I have to pay any fees,2
 you cx'ed almost the entire east coast flights All other planes are taking off any traveling fine I need to get to Nev ASAP,0
"Unconventional COVID-19 stock shortages at my local supermarket:
. Nicotine patches and gum
. Garlic
. Chilli Powder
. Old El Paso fajita kits
. Red wine (but not White)
. White cider and Special Brew (&gt;5% ABV)
. Coke Zero (but not Pepsi Max)
. Camomile tea
. Echinacea tea",1
"Printed store flyers may not come back as COVID-19 changes retail habits
https://t.co/P3wvfezD83
+1 EhBot #Canada #news",2
"#coronavirus or #ClimateChange is the same for neoliberals. This is only a business https://t.co/9GvmapJmsm
The Conquerors of America - https://t.co/5rJlHAazMq https://t.co/Mr8DwM1qiS by @NatCounterPunch",2
"COVID-19 panic-buyers are now binning out-of-date food ????

https://t.co/ksVrKhZ9rZ

#PanicBuying #Coronavirus #FoodWaste https://t.co/A1CUYJfqfU",0
"EU salmon prices collapse to below 5/kg, down 20% week-on-week - *** Can cans and @CookItFrozen fill the #COVID2019 void in 2020? Bring it! https://t.co/Fv6XeqF6ip https://t.co/YiG9DQhtea",0
" Flight for tomorrow has already been Cancelled Flightled, what do I do now?",0
"Me: We should stock up food for 2 months becuase of #Covid_19 

9 yr old bro: So how many @lacroixwater is that? 

??",2
 How can you not know where my bags are?  You knew where they were 6 hours ago. You are killing me!  Worst service. Ever.,0
"Dear #USA, #Trump, #FEMA, this is how you avoid states competing with each other and driving up prices for #medicalequipment &amp; #protectivegear. #TrumpLiesAmericansDie 

#EU #EUCommission #coronavirus #COVID19 

https://t.co/Iix3g7RQ6a",1
"How #markets may change after #Covid_19:

-No more second-hand clothes shopping
-More online shopping
-More online grocery shopping (good for #instacart)
-Even higher popularity of #Amazon
-Less #luxury buying",1
"Anyone actually given a thought to people who work in food retail during this #Covid_19 #CoronavirusPandemic ? Whilst schools and events are being closed, people still have to shop, colleagues still have to work to provide stock for customers. Supermarkets wont close though.....",1
 in miami and the  agents Rachel Wong and Marisol Pimentel were very  pleasant in a world of chaos a BIG .thank u,1
Scams are on the rise make sure you know what to look out for and be on your guard Please share this important article it could really save someone from becoming a victim 19,1
"If HEB had a FAST PASS like six flags, I would totally buy one just so I dont have to stand in this dang line. Man this whole thing is a rollercoaster. See what I did there?  #sixflags #COVID?19 #beatcorona #coronavirus #COVID19 #AustinTx #austin #Texas #heb #toiletpaper",1
"I think at this point, it is almost sure that I will get #coronavirus. Bus drivers are getting coronaviruses, Uber drivers, grocery store clerks, petrol stations as @fordnation wants people to die. I could possibly be affected right now but not showing symptoms.",0
My grocery store rn.... #coronapocalypse #coronavirus #Covid_19 https://t.co/kgnvjwe1lN,2
" yes, last month when Boston got the first big snow storm and my flight was Cancelled Flightled.",0
Dallas Fed's Kaplan wonders how consumers and businesses behave when the #coronavirus crisis subsides #FederalReserve #economy https://t.co/W9QtCqn4l2 via @WSJ,0
 someone should screen what you play on your flights. http://t.co/tNY9uIpha5,0
"Covid-19 offers us; online lesson, online research, online communication, online purchasing, online meeting, online education, online shopping, online love :-))..
 I think our lives will take shape online from now on ... https://t.co/82EneRIlRt",1
"Cashiers, grocery store employees, sanitation workers, delivery workers, transportation workers, and medical personnel are braver than any us marine #CoronaCrisis #StayAtHome #SocialDistancing",1
My pig knew I m at home bored because of the He sent money for me to go online shopping because I m too pretty to spend my hard earned cash Such a good cuck   I love 3 digit tributes Send me more Cashapp Jewlsmulan   Findomme Paypig Finsub Whiteslave Findom  ,1
Australians thank schoolteachers working through the COVID 19 pandemic SBS Voices,1
sucks In a bastard eats a bat and leaves me in without paper to wipe my ass,0
"Our latest #coronavirus news sees global farmed #salmon markets ""a mess"", while there's some concern in #India over how low #shrimp prices could fall, and indeed have fallen:  https://t.co/Iu49TBeunD",0
"Google just asked me to update my workplace location to the supermarket ???? - I guess that's the only place I've been the past few weeks.
#Covid_19 #COVID @googlemaps https://t.co/kpO9x4MX3u",2
" thanks for reaching out. The seat was hard, not enough cushion. OK for short flight. BTW, UA6465 flight and crew were great!",0
Global surveys of consumer sentiment during the #coronavirus crisis https://t.co/G4GWW6NXXe,0
I've updated our prices page on our website to reflect the COVID-19 restrictions to our services: https://t.co/7JyfwnlXNl,2
 so happy that you can finally put your #southwestairlines boarding pass into passbook! Makes life so much easier ✈️,1
@DrNLouissaint Don't forget to thank #grocery store employees too! I know people are angry about the empty shelves. But these folks are putting themselves out there on the front lines in crowded conditions every day - probably making minimum wage. They ar,0
"Be certain to thank them for their service: grocery store clerks, truck drivers, Amazon delivery folks, pharmacists, hospitality staff, and of course nurses and doctors. THESE are the people on the front lines of this battle. #Covid_19",1
"Why are @Whca photographers ignoring #SocialDistancing at #coronavirustaskforce briefings??  It makes the public think if they wear a mask, they can do the same thing.  I had that experience at the grocery store...THE MASK IS NOT 100% STOPPING THE SPREAD!!
@CDCgov",0
" What is with your lost &amp; found.  My wife lost her phone in Philly, &amp; followed your web instructions to call an 800#.  No answer.",0
