,text,summary
10,"Vladimir Putin honoured the man Scotland Yard believes poisoned dissident Alexander Litvinenko (pictured) with polonium in London . Vladimir Putin yesterday honoured the man Scotland Yard believes poisoned dissident Alexander Litvinenko with polonium in London. Andrey Lugovoy, 48, was given a medal for 'services to the motherland' as the UK holds a public inquiry into the 2006 killing of Mr Litvinenko. Putin had blocked the extradition of Lugovoy, a former secret-service operative who is now an MP with the ultra-nationalist Liberal Democratic Party. The Russian president also gave the Order of Honour to Ramzan Kadyrov, the leader of Chechnya. The award came as Kadyrov admitted knowing the man who has confessed to killing Putin critic Boris Nemtsov in Moscow. Kadyrov appeared to defend the suspect Zaur Dadayev by calling him a 'true patriot' and a 'deeply religious man'. Opposition politician Ilya Yashin said Putin was sending a signal: 'These are my people, do not touch them.' Kadyrov received his state award for 'work achievements, strenuous social activities and long conscientious service', but it comes amid claims that even some senior Russian officials are worried about the sway held by the Chechen. Lugovoy holds the post of deputy chairman of the Russian parliament's security and anti-corruption committee. He is chief suspect in the murder of former secret agent Mr Litvinenko, who from his death bed accused Putin of ordering his killing. Putin revealed yesterday that he held an all-night conclave of his defence and secret services cardinals ahead of his order last year to restore Crimea to Russia. In a trailer for a new TV documentary, he admitted calling his security chiefs to the Kremlin for a secret meeting to order them to save the life of deposed Ukrainian president Viktor Yanukovych. Andrey Lugovoy (pictured), 48, was given a medal for 'services to the motherland' as the UK holds a public inquiry into the 2006 killing of Mr Litvinenko . The Russians allege the West was complicit in the toppling of pro-Moscow Yanukovych so threatening Russia's national security. 'I invited the leaders of our special services and the defence ministry to the Kremlin and set them the task of saving the life of the president of Ukraine, who would simply have been liquidated,' said Putin. 'We finished about seven in the morning. When we were parting, I told all my colleagues, ""We are forced to begin the work to bring Crimea back into Russia"".'","Russia honours the man believed to have poisoned Alexander Litvinenko .
Putin gave Andrey Lugovoy a medal for his 'services to the motherland'
Lugovoy is believed to have poisoned dissident with polonium in London ."
11,Child marriage nearly ruined her dreams at 9 years old but Priyanka Chandani escaped and became a changemaker,Escaped Child Bride's Success
12,"(CNN)Anna Duritskaya, the Ukrainian model who was with opposition politician Boris Nemtsov when he was shot in Moscow, is now the focus of intense interest. A beautiful brunette more than 30 years his junior, she had been his girlfriend for 2½ years. So what is known about her? The 23-year-old had been out for dinner with Nemtsov on Friday night. She had suggested getting a taxi, but Nemtsov didn't want to, preferring to walk, Duritskaya's mother said. As the pair crossed a bridge in central Moscow, the 55-year-old Kremlin critic was gunned down by unknown attackers. His girlfriend was holding his hand and heard what sounded like a clapping sound, her mother, Inna Duritskaya, told CNN. Nemtsov went limp and fell to the ground, fatally shot in the back. Duritskaya is the only known witness to the shooting, which occurred 100 meters (330 feet) from the Kremlin but appears not to have been captured on security cameras. Inna Duritskaya said her daughter called her right after she called police to raise the alarm. ""She was crying and she was saying Boris had been killed and he's lying next to me,"" Inna Duritskaya said. ""She was in such shock she couldn't say anything else. Just, 'Mum, Boris is killed, and he's lying next to me.' "" On Monday, the Russian television station Dozhd published an interview with Anna Duritskaya. She told the interviewer that she did not see who killed Nemtsov, but that when she turned around, she saw a light-colored car driving away. In an interview with CNN, Ilya Yashin, a political ally and friend of Nemtsov's, said that Duritskaya had telephoned him immediately after the shooting and said there were several men in the car containing the shooter. Over the weekend, Russian authorities questioned Duritskaya about what she saw. While in Moscow, the model was staying at the apartment of an Nemtsov aide under constant police guard. But Moscow's Investigative Committee insisted that she was not detained and could have left at any time. ""She said she wanted to give the testimony and took part in investigative activities understanding the importance of it for the investigation,"" a statement released Tuesday said. ""We received no complaints from Anna Duritskaya or her lawyer during her stay in Moscow. Only today, after investigative activities are over she left Russia."" The model left the Russian capital Monday night bound for Kiev, Ukraine, said Yevhen Perebyinis, a spokesman for Ukraine's Foreign Ministry. Inna Duritskaya told CNN that while being questioned, her daughter faced constant psychological pressure from Moscow authorities and that she fears she will be implicated in his death. In a Skype interview with Dozhd, Anna Duritskaya indicated her continued presence in Moscow after the shooting was not from choice -- and seemed to appeal to be allowed to leave. ""Now I have a status of a witness, I gave all evidence possible, I don't understand why I'm still on the territory of Russia. I want to go to my mother who is ill, who is in very difficult psychological condition,"" she said. ""During three days, they have been taking me together with security in police cars to the Investigation Committee and conduct the investigation. They are not explaining when they are going to release me and the reason they are keeping me here."" Perhaps not. According to the Investigative Committee, Duritskaya signed a witness protocol and confidentiality agreement, which is standard procedure in Russia. It states that she will not share information she gave to investigators or any preliminary findings of the investigation, the committee said. ""Leaving Russia, Duritskaya expressed a wish to continue to cooperate with the investigation and to participate in any ongoing investigation if needed,"" it added. Inna Duritskaya said her daughter knew the risks of getting involved with the prominent opposition leader. ""Of course when I heard she was dating him, it was a bit of a shock,"" she said. ""Then when I met him in person, I liked him a lot as a person. He was straightforward, he treated my daughter very well, she was happy. And I couldn't influence it anyway; my daughter did what she wanted to. Of course, I was worried and scared, but I couldn't change it anyway."" Duritskaya's reported return to Kiev means she was unable to attend her partner's memorial service and funeral Tuesday. CNN's Alla Eshchenko contributed to this report.","Anna Duritskaya, a 23-year-old Ukrainian model, was Boris Nemtsov's girlfriend .
She was with Nemtsov when unknown attackers shot him dead in Moscow ."
13,"Did you love The Night Agent, one of Netflix's biggest breakout hits of the year so far? Then you'll want to also check out these shows, too.","""Similar Shows to The Night Agent"""
14,"""We have a very typical CEO-chairman relationship,"" Michelle Ritter told Forbes in an interview.",CEO-Chairman Relationship Typical
15,Girls leapt to their highest lead over boys in GCSE results during the pandemic,Girls Outperform Boys in GCSE
16,"Sally Cox, 39, stopped her son Jed Pearce, 10 (pictured together above), from going on the mosque trip, expressing fears of 'violence and guns' Children as young as eight have been banned by their parents from attending a British mosque as part of a school trip over 'safety' fears, with one mother claiming she 'doesn't want to put her son at risk of being shot'. Nearly 100 primary pupils from Lostwithiel School in Cornwall were due to travel 68 miles to visit the mosque in Exeter, Devon, as part of an RE trip to learn about different faiths. The schoolchildren, from years three to six, were due to visit the city's cathedral before taking a tour of the mosque and observing a congregational prayer. However, about 10 pupils have now pulled out of next week's school trip after their parents said they  would be exposed to 'violence and guns' and expressed 'grave concerns' about the teaching of Islam. Christine Trevethen, 47, a housewife from Lostwithiel, Cornwall, has stopped her 10-year-old daughter Keira going on the visit. She said: 'We are not the only ones that don't want our kids to go - but a lot of the others haven't been honest enough to do so in the consent form. 'I do not want my daughter going to the mosque for personal reasons. I don't agree with the religion and what it stands for - but I am not prepared to go into the reasons why. 'We have now been told our children are going to be excluded from RE lessons as a result, which is a big concern. 'We tried to go through the right channels but the school handled it very badly.' Sally Cox, 39, a self-employed cleaner from Lerryn, Cornwall, has also blocked her son Jed Pearce, 10, from going on the visit. She said: 'I did not want him to go because they are a violent religion and many of them have guns. 'You can see what they are like every day on the news. There was a Muslim bomber in Exeter just a few years ago. 'We were just being honest saying we did not want them to go. 'It is unsafe. I don't want my son being shot. Also this is not a religious school yet they are willing to take a whole day out for religion. 'I don't want them to do that. I want him to be in school learning Maths and English - not being put at risk of being shot. 'They decided to take him out of RE, but I said I am fine with that.' Nearly 100 primary pupils from Lostwithiel School in Cornwall were due to travel 68 miles to visit the mosque in Exeter, Devon (pictured) as part of an RE trip  but 10 pulled out after parents expressed 'grave concerns' Another parent, who did not want to be named, said: 'We have grave concerns about the children's safety during the trip due to the horrific events that occur every day. 'We have therefore decided not to send our children on this trip. This decision is not one based on ignorance or racial or religious beliefs, but one based purely on safety concerns.' The parent said she was furious after the pupils who pulled out of the trip were singled out in a school assembly. She said: 'They were made to stand up after assembly. The sitting non-attendees were then asked individually why they were not going on the trip. 'This is not a decision the children have made, so discriminating against these children in this fashion is disgraceful, unacceptable and unprofessional.' However, not all parents are opposed to the trip, with some backing the school and suggesting the visit is a positive move. Alice Mitchell, 35, a playworker from Lostwithiel, said: 'I think we need to educate our children to be tolerant and dispel the rumours the media can congregate. 'I am all for my children going on the trip. I think celebrating diversity is a great thing. 'It is all down to fear. People are scared of other religions. There is a lot of misconceptions.' And Sian Cornish, 41, a self-employed retailer, from Lostwithiel, added:' 'I did not even realise it was an issue. I was delighted my child had the opportunity to experience another culture in their ways of worship. 'I think it is important to celebrate other cultures - even if you don't agree with them.' Carolyn Huxley, headteacher of Lostwithiel School (pictured), which has just 156 pupils on its books, said the trip would still take place on May 7 to 'show children the views of extremists are not a true reflection of Islam' Kat Smith, the chairman of governors for the school, said a group of parents had expressed concerns about the trip due to recent terror attacks by groups such as ISIS. She said: 'This is the first time pupils from the school have visited a mosque and it's an exciting opportunity for them to learn about different faiths and ensure that they're aware of the diverse nature of modern Britain. 'Because of recent news reports about extremist groups, such as ISIS, that identify themselves with Islam, a small number of parents have expressed concerns about the trip and the teaching of Islam in school. 'In response, the school held a special assembly with children to discuss these issues, and the head teacher has met and sent letters to parents with specific concerns. 'A full risk assessment has been conducted for the trip and there is no more risk attached to this trip than any other school trip.' Ms Smith said the school had a duty under the Equality Act 2010 to promote good relations between people of different beliefs and ethnicities. She said: 'Religious Education forms part of the basic curriculum in schools and its teaching is enshrined in law. Kat Smith, the chairman of governors for the Lostwithiel School, said parents expressed concerns about the teaching of Islam at the school . 'The school recognises that parents have the right to withdraw their child from RE in whole or in part, and provide alternative work to further their child's knowledge and understanding of the parents' beliefs and values. 'However, the school is aware that children growing up in Cornwall may have little contact with Muslims and it is aware that it has a duty under the Equality Act 2010 to promote good relations between people of different beliefs and ethnicities as part of its single equality duty. 'The Governing Body fully supports this trip and the teaching of RE, including Islam. 'It is the governors' hope that the visit to the mosque will provide an insight for pupils into the nature of British Islam, help them understand how Islam is presented in the media and that groups like ISIS are not a true reflection of the Islam followed by the vast majority of Muslims in Britain.' Carolyn Huxley, headteacher of the primary school which has just 156 pupils on its books and teaches those aged four to 11, said the trip would still be taking place on May 7. She said: 'Our hope from the visit to the mosque is that children will be given a view as to what are the values and beliefs of a British Muslim. 'This trip will show the children the views of extremists are not a true reflection of Islam as a religion.' Exeter Mosque, described as the 'Islamic Centre of the South West', is open daily for prayers and also welcomes those wishing to learn about the Quran and basics of the Deen. The Mosque also welcomes groups as part of education programmes and regularly hosts school trips. Lostwithiel School, which has around six teachers, said the trip was planned to enable children to learn further about different religions. The school said it follows the Cornwall Agreed Syllabus for Religious Education and part of the curriculum encourages children to study Christianity in great detail, as well as finding out about Hinduism, Sikhism, Judaism and Islam through school trips, visits from outside speakers and class teaching. The Muslim Council of Great Britain said it was concerned by the views of some of the parents who strongly opposed the trip. A spokesman said: 'We would have thought a well-rounded education involves learning about those of a different faith. 'These laudable initiatives take place across the country. It is therefore disappointing to hear that some parents have chosen to pull their children out of a visit to a mosque due to events elsewhere in the world. 'We hope this incident is atypical and not reflective of a growing sentiment against Muslims in this country. 'We commend the headteacher for rightly stating that such a visit will help her pupils to understand real Islam and dispel the myths and hysteria that surrounds our religion.' MailOnline has contacted Exeter Mosque for comment.","10 pupils pull out of trip to mosque after parents express 'grave concerns'
One parent expressed fears of child being exposed to 'violence and guns'
Lostwithiel School in Cornwall planned RE trip to Exeter mosque next week .
However, other parents backed trip to promote education of various faiths ."
17,"Fearing for their lives, hundreds of African immigrants have begun arriving in their home countries after fleeing the bloody violence that has swept across South Africa. Among them were some 400 Zimbabweans –  including pregnant women and babies – who were packed onto buses to escape the anti-immigrant attacks that have left seven people dead in recent days. They were pictured wearily disembarking in the safe haven of a migration centre  in the Zimbabwean border town of Beitbridge after leaving Durban yesterday. About 3,200 Malawians have also sought refuge in temporary camps amid the ensuing chaos. Their plight emerged as South Africa's influential Zulu King Goodwill Zwelithini denied whipping up the xenophobic hatred in the country that has forced thousands from their homes. Scroll down for video . Safe haven: Zimbabwe victims of xenophobic attacks in South Africa disembark from a bus on arrival at the International Organisation for Migration Reception and Support Centre in Beitbridge, Zimbabwe . Shock: A pregnant woman stands in a registration queue awaiting her turn at the International Organisation for Migration Reception and Support Centre in Beitbridge, after fleeing attacks that have seven people dead . Two Zimbabwean Nationals sleep inside a tent at the International Organisation for Migration Reception and Support Centre grounds after being repatriated following xenophobic attacks in South Africa . Stunned: Venge Mundai, a survivor of the xenophobic violence is looked after by a doctor inside a makeshift clinic at the International Organisation for Migration Reception and Support Centre in Beitbridge . Zwelithini had made an angry speech last month blaming immigrants for rising crime and saying they must leave the country, in an outburst seen as inciting the spate of attacks. But addressing a tribal gathering of several thousand Zulus in the port city of Durban the king insisted he had been taken out of context. 'My speech... was directed at the police, calling for stricter law enforcement, but that was never reported,' he said. 'The public was instead given another side of my speech, which has been twisted and misrepresented. This violence directed at our brothers and sisters is shameful.' Meanwhile, in Malawi, Information Minister Kondwani Nankhumwa said six buses carrying 390 Malawians from Durban were sent to Malawi yesterday, while five more buses were expected to leave today. Those killed in the anti-immigrant unrest included two Malawians, according to Malawi's government. Louis Lulu Mnguni, South Africa's top diplomat in Nigeria, said his Lagos mission has warned South African citizens in Nigeria 'to exercise vigilance and limit their movements' following threats of reprisal attacks. Malawian families fleeing xenophobic violence disembark a bus at Kamudzu stadium  in Blantyre, after being repatriated from South Africa . A group of 390 Malawians fleeing xenophobic violence wait at Kamudzu stadium  in Blantyre. South African authorities have struggled to contain mobs in the economic capital Johannesburg and Durban who have been attacking foreigners from Zimbabwe, Malawi, Mozambique and other African countries . Similarly, security was increased at the South African High Commission in Accra, Ghana, after telephoned threats, said Lulama Xingwana, the high commissioner. Activists in some African countries have also organised protests and called for a boycott of South African goods as South Africa is a powerful trading partner in the region. Kenmare Resources, a Dublin-based company, said it temporarily repatriated its 62 South African workers at a titanium mine in Mozambique after 'reciprocal unrest' there that stemmed from the South African violence. The mine's total workforce is nearly 1,400. The outbreak of violence in South Africa against immigrants has tarnished the reputation of a country that has one of the biggest economies on the continent and has been a destination for people seeking opportunity and an escape from turbulence elsewhere in Africa. Horrific pictures released yesterday showed a Mozambican man bleeding to death in a gutter after being savagely attack by a gang who stabbed him with knives and bludgeoned him with a wrench in Alexandra township near Johannesburg. In a chilling twist the victim was left bleeding to death in a gutter because a medical centre just 300 feet away was closed for the day because the doctor who worked there was also a foreigner and feared becoming a victim of a xenophobic attack himself. South Africa was also dubbed the 'rainbow nation' for its relatively peaceful transition to democracy after the end of white racist rule in 1994. Attack: Shocking images capture the moment the armed gang surround Emmanuel Sithole and repeatedly stab him with knives and bludgeon him with a wrench in Alexandra township near Johannesburg . Now the government is struggling to contain negative fallout from attacks on immigrants in some areas of Durban and Johannesburg that killed seven people since the end of March. Professor Chris Landsberg, an African diplomacy and foreign policy expert at the University of Johannesburg said the South African government should be 'less reactive and more proactive' in dealing with tensions over immigrants. He said the country should 'be a bit more humble' about its aspirations as a continental leader, adding: 'We are in denial.' Zulu King Goodwill Zwelithini, an influential figure among the Zulu ethnic group in South Africa, condemned the attacks in a speech Monday at a Durban sports stadium. His remarks followed allegations that he provoked the violence with reported comments in which he said foreigners should go home. Doctors tried in vain to save Mr Sithole's life. His cause of death was later established as a direct stab wound to the heart and his identity established from a mobile phone found in his pocket . President Jacob Zuma postponed a ceremony, scheduled for next week, in which the country's highest official honor is bestowed on South Africans and foreigners who have contributed to South Africa, his office said. The event will be postponed so South Africa can mourn the victims of the anti-immigrant violence, including three South Africans and four foreigners, it said. The attacks in South Africa stem from a perception that immigrants, many from other African countries, are taking jobs at the expense of South Africans in a country with high unemployment. Many people have entered South Africa illegally, though the government has said a large number of immigrants are working legally and contributing to economic development. The violence recalls similar unrest in South Africa in 2008 in which 60 people died. In January this year, four people died during looting of foreign-owned shops in areas of Johannesburg. The violence is particularly unfortunate because other African nations provided shelter and other aid to South African activists during the battle against white minority rule, said Xingwana, the South African diplomat in Ghana. 'The young people have forgotten the contribution of African countries to South Africa's fight against apartheid and need to be educated on this,' she said.","400 Zimbabweans fled Durban on buses to escape the xenophobic protests .
Among thousands of African immigrants who have fled home amid attacks .
Zulu King denies sparking hatred saying his remarks were 'misrepresented'"
18,"His arms out-stretched in a hero pose, former international footballer Michael McIndoe milks the adulation as a spray of champagne washes over him. The 35-year-old wasn't celebrating a cup triumph but the millions flowing through his accounts from an alleged £30million investment scheme that snared a string of top-flight players. Pictures have now emerged of McIndoe in 2011 - at the height of his scheme - surrounded by beautiful women and empty champagne bottles as he revelled in a millionaire playboy's lifestyle in Marbella with a limitless credit card and wads of cash. Former Wolves and  Coventry player Michael McIndoe celebrates in Marbella during the height of his scheme . A member of staff at the beach bar lifts a Methuselah champagne bottle out of an ice bucket . Another former footballer revealed that McIndoe had spent £40,000 on champagne in one day . McIndoe (second from the right) parties in Marbella using money earned from the elaborate scheme . McIndoe started out at Luton Town, making his debut in 1998 and playing for the Hatters 39 times before joining Hereford on a free in 2000. Yeovil then took advantage of the Bulls' financial plight and snapped him up for £25,000 the following year. He scored 22 goals in 91 outings for the Glovers, winning promotion from the Conference in 2003 before joining Doncaster for £50,000. McIndoe twice made the PFA Team of the Year with Rovers and was his side's joint-top scorer in 2004-05 with 12 goals. He twice represented the Scotland B side during his time at Rovers. After a loan spell at Derby he joined Barnsley then Wolves, on loan again, before the deal was made permanent for £250,000. He signed a three-year contract with Bristol City in 2007 and scored the winner against Crystal Palace in the second leg of the 2008 Championship play-off semi-final. They lost out to Hull at Wembley and McIndoe had one more season at Ashton Gate before joining Coventry. He also had a brief loan stint at MK Dons. But the former Wolves and Coventry midfielder, who is accused of persuading 300 stars including Jimmy Bullard as well as a string of lower league players to invest with him, is now being investigated by police. He was forced into a bankruptcy court with debts approaching £3m earlier this month where he claimed to be penniless and living on the charity of friends and family. The Metropolitan Police are investigating and have started quizzing victims and associates. 'He was the Mr Big in Marbella, buying loads of champagne and girls all over the place. He even had a bodyguard,' said one footballer, who lost around £75,000 in the scheme, which promised a 20 per cent return on investments. McIndoe, from Edinburgh, hired pop star Alexandra Burke to perform at a party and invested in a private members club, in London. But it was in Marbella that McIndoe indulged the lavish lifestyle - shown in these exclusive photos - he could not afford as his playing career ended in non-league football. He hired a modernist £2m mansion for £27,000-a-week for a three-week holiday spree and spent £40,000 on champagne in one day at a beach club party. Friends had bottles of champagne and vodka at their tables whenever they went to nightclubs. McIndoe celebrates scoring for Doncaster against Arsenal in the League Cup in 2005 . McIndoe with the girlfriend Emma Frain during one of his holidays in Spain . McIndoe used the promise of 20 per cent returns on people's money to fund his champagne lifestyle . The former Scotland B player rented a £27,000-a-week mansion for a three-week holiday in Spain . 'There were lots of girls and lots of drink,' said the player, who had been befriended by McIndoe when he was a young apprentice at the same club. 'He was spending money like you've never seen before.' McIndoe was photographed lounging on a white sofa with his then girlfriend, model Emma Frain, and smoking a huge cigar while surrounded by friends as he bankrolled their luxury holidays. The player added that McIndoe targeted fellow professionals and businessmen football supporters and initially gave them the 20 per cent return paid monthly in cash. The scheme sucked in around 300 players and the former QPR and Hull star Bullard is thought to have lost around £600,000 which prompted him to go on the ITV reality show, I'm A Celebrity Get Me Out of Here. He told original investors to get other 'clients' involved and they would be rewarded. McIndoe and his friends at the Ocean Club in Marbella where 'beds' can cost up to 7,950 euros (£5,790) More than 60 bottles of Veuve Cliquot Champagne stand empty at a party funded by McIndoe in Marbella . Large bottles of the expensive Dom Perignon champagne are buried into an ice bucket . Jimmy Bullard (pictured here in 2011) was one of the investors, and is thought to have lost around £600,000 . McIndoe lived at the five-star Mayfair Hotel, paying £4,000 a week for a suite, and also rented a Belgravia apartment for an upfront £150,000 annual fee, it is alleged. He ran glitzy parties at celebrity nightclubs including Funky Buddha, in London, and drove around in a Bentley and a Maybach. He was reportedly gambling heavily before the scheme crashed and is said to have run through £1m on bets with one bookmaker in a year. 'He had the gift of the gab but was very cagey about the scheme, saying the money was in property, gold or City investments,' added the player, who declined to be named. 'People were convinced when they saw him paying out but then he suddenly closed the scheme down. He kept telling me to wait and that I would be a wealthy man.' McIndoe celebrates sinking Crystal Palace to reach Wembley in 2008 . But he was consoled by Wayne Brown after Bristol City lost the 2008 Championship Play-off final to Hull . Another person to have been caught out by the former Scotland B international was glamour model Georgia Eden, who was one of 30 women hired to attend club nights organised by McIndoe. In total, McIndoe was due to pay the model agency who organised the women £12,000, but the money never materialised. Speaking to the Daily Record, Eden said: 'We were asked to mingle around and talk to guests in the club. The organisers said they were really pleased with what we had done and we were told we would be paid within 30 days. Georgia Eden was one of 30 models hired to attend a event put on at a club by McIndoe . But Eden, along with her colleagues, was never paid for her work with the agency said to be owed £12,000 . McIndoe (right) in action playing for his former club Wolves against West Bromwich Albion in 2007 . 'That date came and went and a lot of excuses were made to the agency. 'To have that amount of girls booked for one job was a really big deal so it was a big let down to not be paid for the work we had done.' McIndoe was made bankrupt in October last year with disclosed debts of £2.4m. He told the London bankruptcy court this month that he had no income and was living off £13,900 surplus from the sale of his mother's house but £6,000 of that had been given to his girlfriend, who lives in Epping, Essex. 'That money has been running thin of late so I have been getting help from friends and family,' he told the hearing. He added that he was not working and was living with his mother in Edinburgh or staying with a friend in London. After the hearing, he faced accusations from creditors that he had not responded to their questions about repayment. 'I have nothing to say, I cannot comment about this,' he said. The hearing was adjourned until March 25 and he must attend a meeting with the bankruptcy trustee later this month. Sorry we are not currently accepting comments on this article.","Michael McIndoe convinced footballers to take part in investment scheme .
Investors in the scheme reportedly lost a combined £30million .
Former Wolves and Coventry midfielder spent money on a lavish lifestyle .
Pictures have emerged of McIndoe's lifestyle from height of the scheme .
McIndoe later declared bankruptcy and is now supported by his family .
I'm a Celebrity star Jimmy Bullard thought to have lost £600,000 ."
19,U.S. health officials are warning doctors to be on the lookout for possible cases of lead poisoning in children,Lead Poisoning Alert for Children
